instance_id,campus,size,track,structure,phi,eta,m,u_target,u_realized,method,seed,twt,makespan,mean_flow,breach_share,breach_p1,breach_p2,breach_p3,breach_p4,decisions,latency_ms_per_decision,replans,validator_ok,runtime_s,n_declines,deliberate_wait_bh,ran_primary_after_decline,ran_secondary_after_decline
c02_replay_400_0007,2,400,replay,chain,1.0,0.8,0.6,,,edd,301,1400.6082000000001,208.51,27.105726,0.02,1.0,0.12195121951219512,0.028169014084507043,0.0,400,0.006440738216042519,,1,0.0025762952864170074,,,,
c02_replay_400_0007,2,400,replay,chain,1.0,0.8,0.6,,,edd_patient,301,1316.7140000000002,210.93,28.5416675,0.02,1.0,0.12195121951219512,0.028169014084507043,0.0,400,0.029942141845822334,,1,0.011976856738328934,1046,383.7379000000059,55,150
c02_replay_400_0008,2,400,replay,chain,1.0,0.8,0.6,,,edd,301,597.1628,122.0733,31.952609749999993,0.015,0.25,0.04285714285714286,0.037037037037037035,0.0,400,0.015345974825322628,,1,0.006138389930129051,,,,
c02_replay_400_0008,2,400,replay,chain,1.0,0.8,0.6,,,edd_patient,301,576.6453999999999,127.07,30.822587249999998,0.015,0.25,0.04285714285714286,0.037037037037037035,0.0,400,0.042748653795570135,,1,0.017099461518228054,2051,575.9098999999896,59,147
c02_replay_400_0009,2,400,replay,chain,1.0,0.8,0.6,,,edd,301,2569.3832,183.16,27.1385595,0.065,0.2857142857142857,0.08536585365853659,0.057803468208092484,0.0,400,0.005059507675468922,,1,0.0020238030701875687,,,,
c02_replay_400_0009,2,400,replay,chain,1.0,0.8,0.6,,,edd_patient,301,2796.9968,180.70000000000002,26.234586,0.0825,0.2857142857142857,0.11585365853658537,0.06936416184971098,0.0,400,0.025217290967702866,,1,0.010086916387081146,556,484.58269999999993,51,34
c02_replay_400_0010,2,400,replay,chain,1.0,0.8,0.6,,,edd,301,491.91919999999993,165.4033,24.761485000000004,0.015,0.0,0.041237113402061855,0.03389830508474576,0.0,400,0.006053883116692305,,1,0.002421553246676922,,,,
c02_replay_400_0010,2,400,replay,chain,1.0,0.8,0.6,,,edd_patient,301,454.2088,153.16,24.786053499999998,0.0125,0.0,0.030927835051546393,0.03389830508474576,0.0,400,0.029150638729333878,,1,0.011660255491733551,1379,292.431799999997,71,103
c02_replay_400_0011,2,400,replay,chain,1.0,0.8,0.6,,,edd,301,601.408,197.36,32.44500000000001,0.01,0.0,0.05172413793103448,0.016666666666666666,0.0,400,0.0071364641189575195,,1,0.002854585647583008,,,,
c02_replay_400_0011,2,400,replay,chain,1.0,0.8,0.6,,,edd_patient,301,621.6813999999999,179.72670000000002,31.140975750000003,0.0125,0.0,0.05172413793103448,0.03333333333333333,0.0,400,0.03845304250717163,,1,0.015381217002868652,1526,591.681199999997,68,150
c02_replay_400_0012,2,400,replay,chain,1.0,0.8,0.6,,,edd,301,3760.5180000000014,229.2,20.191739999999996,0.1375,0.3333333333333333,0.25268817204301075,0.037037037037037035,0.0,400,0.004780937451869249,,1,0.0019123749807476997,,,,
c02_replay_400_0012,2,400,replay,chain,1.0,0.8,0.6,,,edd_patient,301,2755.5921999999996,223.0581,17.60157925,0.055,0.16666666666666666,0.0913978494623656,0.024691358024691357,0.0,400,0.024178577587008476,,1,0.00967143103480339,471,748.7894000000024,50,38
c02_replay_400_0013,2,400,replay,chain,1.0,0.8,0.6,,,edd,301,8888.334400000002,247.69,35.44148175,0.205,0.4,0.1870967741935484,0.27011494252873564,0.0,400,0.005239120218902826,,1,0.0020956480875611305,,,,
c02_replay_400_0013,2,400,replay,chain,1.0,0.8,0.6,,,edd_patient,301,9840.962299999997,240.98329999999999,34.4151145,0.1975,0.6,0.2129032258064516,0.20689655172413793,0.017857142857142856,400,0.026599904522299767,,1,0.010639961808919907,924,1505.5832000000019,42,40
c02_replay_400_0014,2,400,replay,chain,1.0,0.8,0.6,,,edd,301,5301.4257000000025,280.24,29.47318575,0.16,0.3333333333333333,0.27167630057803466,0.06293706293706294,0.030303030303030304,400,0.007278872653841972,,1,0.002911549061536789,,,,
c02_replay_400_0014,2,400,replay,chain,1.0,0.8,0.6,,,edd_patient,301,4605.402800000001,251.5696,26.02002175,0.1475,0.3333333333333333,0.24855491329479767,0.055944055944055944,0.030303030303030304,400,0.014945212751626968,,1,0.005978085100650787,750,430.2100999999992,64,79
c02_replay_400_0015,2,400,replay,chain,1.0,0.8,0.6,,,edd,301,21840.672899999994,263.5881,49.18929,0.45,0.8333333333333334,0.5833333333333334,0.3157894736842105,0.038461538461538464,400,0.007478115148842335,,1,0.002991246059536934,,,,
c02_replay_400_0015,2,400,replay,chain,1.0,0.8,0.6,,,edd_patient,301,19784.491499999986,270.8848,46.899338,0.3775,0.6666666666666666,0.47685185185185186,0.28289473684210525,0.038461538461538464,400,0.015744385309517384,,1,0.006297754123806953,887,1539.5299999999968,35,56
c02_replay_400_0016,2,400,replay,chain,1.0,0.8,0.6,,,edd,301,1158.0976,129.86,23.914613749999997,0.015,1.0,0.058823529411764705,0.046511627906976744,0.0,400,0.007786019705235958,,1,0.0031144078820943832,,,,
c02_replay_400_0016,2,400,replay,chain,1.0,0.8,0.6,,,edd_patient,301,1158.0976,135.98,24.169087250000004,0.015,1.0,0.058823529411764705,0.046511627906976744,0.0,400,0.014462864492088556,,1,0.0057851457968354225,785,112.1650999999997,54,102
c02_replay_400_0017,2,400,replay,chain,1.0,0.8,0.6,,,edd,301,10670.592400000001,292.2881,39.918125499999995,0.325,0.3,0.489010989010989,0.20652173913043478,0.0,400,0.006897668354213238,,1,0.002759067341685295,,,,
c02_replay_400_0017,2,400,replay,chain,1.0,0.8,0.6,,,edd_patient,301,9216.671,288.8196,37.14638025,0.3075,0.4,0.45604395604395603,0.1956521739130435,0.0,400,0.012316405773162842,,1,0.004926562309265137,393,728.6460000000015,39,41
