y1_id,campus,size,m,rule,wwt_v2,wwt_v2_natural_random
c05_replay_150_0114_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0114_m0.6,5,150,0.6,mor,0.0,
c05_replay_150_0114_m0.6,5,150,0.6,random,0.0,0.0
c05_replay_150_0116,5,150,1.0,edd,0.0,
c05_replay_150_0116,5,150,1.0,wspt,0.0,
c05_replay_150_0116,5,150,1.0,atc,0.0,
c05_replay_150_0116,5,150,1.0,pfifo,0.0,
c05_replay_150_0116,5,150,1.0,mor,0.0,
c05_replay_150_0116,5,150,1.0,random,0.0,0.0
c05_replay_150_0118_m0.6,5,150,0.6,edd,2.0,
c05_replay_150_0118_m0.6,5,150,0.6,wspt,2.0,
c05_replay_150_0118_m0.6,5,150,0.6,atc,2.0,
c05_replay_150_0118_m0.6,5,150,0.6,pfifo,2.0,
c05_replay_150_0118_m0.6,5,150,0.6,mor,2.0,
c05_replay_150_0118_m0.6,5,150,0.6,random,2.0,2.0
c05_replay_150_0113_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0113_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0113_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0113_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0113_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0113_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0118,5,150,1.0,edd,2.0,
c05_replay_150_0118,5,150,1.0,wspt,2.0,
c05_replay_150_0118,5,150,1.0,atc,2.0,
c05_replay_150_0118,5,150,1.0,pfifo,2.0,
c05_replay_150_0118,5,150,1.0,mor,2.0,
c05_replay_150_0118,5,150,1.0,random,2.0,2.0
c05_replay_150_0116_m0.6,5,150,0.6,edd,0.0,
c05_replay_150_0116_m0.6,5,150,0.6,wspt,0.0,
c05_replay_150_0116_m0.6,5,150,0.6,atc,0.0,
c05_replay_150_0116_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0116_m0.6,5,150,0.6,mor,0.0,
c05_replay_150_0116_m0.6,5,150,0.6,random,0.0,0.0
c05_replay_150_0117,5,150,1.0,edd,0.0,
c05_replay_150_0117,5,150,1.0,wspt,0.0,
c05_replay_150_0117,5,150,1.0,atc,0.0,
c05_replay_150_0117,5,150,1.0,pfifo,0.0,
c05_replay_150_0117,5,150,1.0,mor,0.0,
c05_replay_150_0117,5,150,1.0,random,0.0,0.0
c05_replay_150_0116_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0116_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0116_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0116_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0116_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0116_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0117_m0.6,5,150,0.6,edd,0.0,
c05_replay_150_0117_m0.6,5,150,0.6,wspt,0.0,
c05_replay_150_0117_m0.6,5,150,0.6,atc,0.0,
c05_replay_150_0117_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0117_m0.6,5,150,0.6,mor,0.0,
c05_replay_150_0117_m0.6,5,150,0.6,random,0.0,0.0
c05_replay_150_0117_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0117_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0117_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0117_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0117_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0117_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0115_m0.6,5,150,0.6,edd,0.0,
c05_replay_150_0115_m0.6,5,150,0.6,wspt,0.0,
c05_replay_150_0115_m0.6,5,150,0.6,atc,0.0,
c05_replay_150_0115_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0115_m0.6,5,150,0.6,mor,0.0,
c05_replay_150_0115_m0.6,5,150,0.6,random,0.0,0.0
c05_replay_150_0120_m0.6,5,150,0.6,edd,0.0,
c05_replay_150_0120_m0.6,5,150,0.6,wspt,0.0,
c05_replay_150_0120_m0.6,5,150,0.6,atc,0.0,
c05_replay_150_0120_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0120_m0.6,5,150,0.6,mor,0.0,
c05_replay_150_0120_m0.6,5,150,0.6,random,0.0,0.0
c05_replay_150_0115_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0115_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0115_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0115_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0115_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0115_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0123_m0.6,5,150,0.6,edd,0.0,
c05_replay_150_0123_m0.6,5,150,0.6,wspt,0.0,
c05_replay_150_0123_m0.6,5,150,0.6,atc,0.0,
c05_replay_150_0123_m0.6,5,150,0.6,pfifo,0.0,
c05_replay_150_0123_m0.6,5,150,0.6,mor,0.0,
c05_replay_150_0123_m0.6,5,150,0.6,random,0.0,0.0
c05_replay_150_0118_m0.8,5,150,0.8,edd,2.0,
c05_replay_150_0118_m0.8,5,150,0.8,wspt,2.0,
c05_replay_150_0118_m0.8,5,150,0.8,atc,2.0,
c05_replay_150_0118_m0.8,5,150,0.8,pfifo,2.0,
c05_replay_150_0118_m0.8,5,150,0.8,mor,2.0,
c05_replay_150_0118_m0.8,5,150,0.8,random,2.0,2.0
c05_replay_150_0126_m0.6,5,150,0.6,edd,18.599999999999966,
c05_replay_150_0126_m0.6,5,150,0.6,wspt,5.099999999999994,
c05_replay_150_0126_m0.6,5,150,0.6,atc,5.099999999999994,
c05_replay_150_0126_m0.6,5,150,0.6,pfifo,18.599999999999966,
c05_replay_150_0126_m0.6,5,150,0.6,mor,28.599999999999937,
c05_replay_150_0126_m0.6,5,150,0.6,random,12.299999999999983,8.299999999999983
c05_replay_150_0119,5,150,1.0,edd,0.0,
c05_replay_150_0119,5,150,1.0,wspt,0.0,
c05_replay_150_0119,5,150,1.0,atc,0.0,
c05_replay_150_0119,5,150,1.0,pfifo,0.0,
c05_replay_150_0119,5,150,1.0,mor,0.0,
c05_replay_150_0119,5,150,1.0,random,0.0,0.0
c05_replay_150_0119_m0.8,5,150,0.8,edd,0.0,
c05_replay_150_0119_m0.8,5,150,0.8,wspt,0.0,
c05_replay_150_0119_m0.8,5,150,0.8,atc,0.0,
c05_replay_150_0119_m0.8,5,150,0.8,pfifo,0.0,
c05_replay_150_0119_m0.8,5,150,0.8,mor,0.0,
c05_replay_150_0119_m0.8,5,150,0.8,random,0.0,0.0
c05_replay_150_0119_m0.6,5,150,0.6,edd,0.0,
